,año,conglome,vivienda,hogar,codperso,ubigeo_x,desercion_escolar,sexo,edad,area_geografica,lengua_materna,tipo_de_colegio,programa,situacion_laboral,años_educacion_padre,años_educacion_madre,ubigeo_y,ingreso_familiar,tamaño_familiar,internet,tv,celular
47,2021,5049,24,11,3,10701,1,0,13,1,1,1,1,0,2,1,10701,360.80156792534723,3,0,0,1
48,2021,5049,35,11,3,10701,1,1,3,1,1,1,0,0,2,1,10701,327.29267035590277,3,0,0,1
49,2021,5057,93,11,7,10307,0,1,7,1,1,1,0,0,3,2,10307,691.6581217447916,8,0,1,1
50,2021,5061,10,11,3,10502,0,0,14,1,1,1,1,1,1,2,10502,295.90810139973956,4,0,0,1
51,2021,5061,10,11,4,10502,0,0,8,1,1,1,1,0,1,2,10502,295.90810139973956,4,0,0,1
52,2021,5061,34,11,3,10502,0,1,15,1,1,1,1,0,2,2,10502,459.76991102430554,3,0,0,1
53,2021,5061,58,11,4,10502,1,0,16,1,1,1,1,0,2,1,10502,176.4739786783854,4,0,0,1
54,2021,5061,70,11,3,10502,0,0,5,1,1,1,0,0,4,2,10502,380.0132107204861,3,0,0,1
55,2021,5066,30,11,3,10601,0,1,8,1,1,1,1,0,3,3,10601,439.2099283854167,5,1,0,1
56,2021,5066,30,11,4,10601,0,0,6,1,1,1,0,0,3,3,10601,439.2099283854167,5,1,0,1
57,2021,5066,45,11,2,10601,0,1,15,1,1,1,1,0,3,3,10601,1520.294921875,2,1,1,1
58,2021,5073,23,11,3,10403,0,0,10,0,0,1,1,0,3,1,10403,481.44276258680554,3,0,0,0
59,2021,5073,26,11,3,10403,0,0,17,0,0,1,1,0,1,1,10403,132.6881962528935,9,0,0,0
60,2021,5073,26,11,5,10403,0,1,13,0,0,1,1,0,1,1,10403,132.6881962528935,9,0,0,0
61,2021,5073,26,11,6,10403,0,0,5,0,0,1,0,0,1,1,10403,132.6881962528935,9,0,0,0
62,2021,5073,69,11,3,10403,0,1,16,0,0,1,1,1,1,1,10403,401.5563151041667,3,0,0,0
63,2021,5073,73,11,4,10403,0,0,16,0,0,1,1,0,1,1,10403,340.8998558407738,7,0,0,1
64,2021,5073,73,11,5,10403,0,0,11,0,0,1,1,0,1,1,10403,340.8998558407738,7,0,0,1
65,2021,5073,73,11,6,10403,0,0,9,0,0,1,1,0,1,1,10403,340.8998558407738,7,0,0,1
66,2021,5073,81,11,4,10403,0,1,16,0,0,1,1,1,3,2,10403,246.55305989583334,5,0,0,0
67,2021,5073,81,11,5,10403,0,0,14,0,0,1,1,1,3,2,10403,246.55305989583334,5,0,0,0
68,2021,5074,47,11,3,10403,0,1,9,0,0,1,0,0,3,4,10403,292.6691080729167,5,0,1,0
69,2021,5074,47,11,4,10403,0,0,7,0,0,1,0,0,3,4,10403,292.6691080729167,5,0,1,0
